MergeSort на массиве случайных элементов
228,5
250,2
297,2
333,6
228,5
415,65
477,5
511,65
575,05
609,9
663,8
711,65
750,35
795,9
838,3
874,9
932,7
973,75
1024,7
1068,2
1446,2
1214,9
1260,75
1416,9
1475,65
1631,4
1479,55
1515,75
1544,5
1548,5
1598
1640,85
1680,75
1733,75
1781,7
1822,1
1871,3
1927,55
1986,8
2027,55
2076,9
2141,1
2185,05
2223,25
2277,9
2325,9
2369,85
2425,95
2479,6
2549,25
2596,85
2628,55
2589,5
2649,3
2691,3
2724,2
2773,65
2843,1
2892,75
3027,2
3028,5
3026,15
3081,75
3130,8
3161,25
3209,8
3261,25
3313,1
3386,45
3436,7
3475,05
3531,4
3571,9
3624,65
3664,35
3722,1
3752,3
3794,5
3866,45
3920,1
3968
4023,75
4085
4119,6
4166,5
4217,9
4260,35
4316,75
4387,65
4418,7
4469,05
4518,15
4577,45
4632,75
4672,8
4716,75

MergeSort на обратно отсортированном массиве
207
255,5
298,75
341,65
386,35
441,95
482,05
527,95
571,9
672,15
706,15
783,95
799,65
822,6
959,1
902,5
949,55
977,9
1013,15
1059,75
1112,6
1151,1
1204,05
1244,65
1298,25
1338,15
1389,3
1430,55
1486,4
1529,8
1634,45
1671,6
1711,3
1751
1769,55
1830,55
1869,95
1931,85
1976,1
2006,05
2065,9
2108,2
2164,1
2217,7
2268,9
2335
2380,45
2438
2494,5
2499,1
2558,55
2602,95
2631,1
2714,95
2763,65
2824,1
2867,55
2924,3
2944,05
2987,6
3037,9
3087,5
3119,9
3180,2
3248,6
3297,8
3363,7
3332,7
3346,75
3399,55
3447,15
3495
3603,6
3586,75
3616,1
3661,05
3720,3
3762,35
3833,5
3884,4
3929
3981,6
4031,7
4081,9
4133,2
4199,55
4235,45
4278,7
4332,7
4382,15
4440,1
4489,25
4531,9
4581,5
4661,1
4726,45

MergeSort на  частично отсортированном массиве
191,15
233,55
281
314,1
355,7
396,65
443,3
486,15
526,95
580,55
606,85
652,65
694,5
751,35
806,55
873,65
897,95
922,35
972,3
1037,55
1091,35
1121,3
1168,4
1214,4
1258,3
1297,85
1347,6
1408,85
1421,55
1463,95
1551,85
1590,15
1633,7
1693,15
1860,7
1893,2
1908,7
1969,25
2055,25
2061,9
2112,3
2115,2
2134,6
2134,9
2185,75
2253,75
2303,4
2351,1
2401,95
2444,3
2493,1
2550,45
2608,5
2646,35
2700,4
2734,65
2781,45
2829
2877,15
2923,1
2976,1
3019,8
3033,25
3217,3
3179,85
3237
3276,95
3313,5
3364,55
3379,45
3465,2
3514,5
3558,1
3604,8
3684,2
3784,5
3781,2
3829,15
3849,85
3903,9
3965,1
4109
4106,25
4080,7
4113,15
4206,6
4235,8
4298,8
4383,5
4463,35
4454,85
4501,6
4557,7
4615,45
4631,6
4698,35

Merge+InsertionSort на массиве случайных элементов
66,7
82,4
94,05
107,55
123,55
165
196,5
190,1
198,9
215,7
227,7
236,05
257,35
259,15
275,25
335,7
372,4
381,6
388,1
409,6
425
432,05
443,15
456,7
468
476,6
499,45
507,6
511,1
551,15
542,15
549,4
568,75
592,35
635,45
716,8
772,35
780,8
785,95
799,25
825,05
853,6
890,75
903,45
907,05
928,65
939,75
936,15
941,7
974,95
992,55
1006,45
1017,75
1035,45
1044,4
1054,7
1073,85
1088,35
1109,7
1112,2
1135,55
1154,15
1164,7
1177,65
1198,85
1208,4
1228,55
1242
1257,75
1275,1
1275,85
1271,85
1322,75
1402,95
1472,65
1546,95
1613,95
1694,65
1666,65
1714,8
1732,95
1753,6
1762,5
1748,85
1794,95
1796,1
1827,6
1852,45
1864,45
1888,65
1884,95
1900,4
1925,25
1957,95
2052,65
2134,85

Merge+InsertionSort на обратно отсортированном массиве
67,15
98,3
107,4
110,35
127,5
192,6
191,85
191,5
202,95
214,45
226,85
240,65
250,9
263,35
277,55
326,4
381,35
383,15
390,5
405,15
421,75
431,6
452,95
468,75
476,25
494,55
502,75
520,05
535,9
544,3
556,6
582,75
594,15
610,8
676,4
782,85
837,45
849,75
831,7
847,45
890,3
874,7
886,9
904,05
941,9
942,3
958,35
965,5
970,85
1024
996,3
1016,8
1026,1
1044,8
1063,85
1073,05
1086,95
1103,1
1117,05
1134,1
1173,55
1196,4
1193
1203,8
1214,55
1243,55
1256,5
1261,7
1291,25
1313,6
1337,8
1332,1
1355,8
1428,05
1496,3
1565,5
1639,3
1704,8
1725,25
1752,35
1754,5
1805,35
1811,9
1825,45
1852,7
1895,35
1880,2
1873,3
1888,4
1906,2
1920,1
1940,25
2019,35
1981,6
1993,3
2009

Merge+InsertionSort на  частично отсортированном массиве
60,6
77,35
86,05
95,8
109,6
141,2
160,7
173,95
182,95
196,6
205,4
218,1
231,1
239,6
253,4
308,1
350,55
371,35
386,7
383,2
395,55
445,5
438,05
447,55
455,4
485,55
480,7
493,4
518,6
542,2
535,7
544,35
560,15
567,1
649,8
700,15
763,95
773,3
796
805,2
822,4
840,4
852,7
869,1
880,05
893,9
918,05
918,25
935,05
973,4
969,45
981,4
992,05
1020,65
1031,8
1050,65
1052,85
1061,6
1105,25
1085,05
1094,3
1153,85
1144,8
1163,25
1179,8
1196,9
1211,85
1222,3
1223,35
1250,9
1273,9
1264,15
1300,6
1383,55
1453,55
1518,15
1596,3
1653,55
1678,2
1696,2
1752,8
1725,95
1739,65
1762,3
1777,55
1793,35
1797,75
1839,6
1844,5
1864,7
1875,3
1894,5
1919,2
1930,85
1963
1931,8
